NOMBRE_ARCHIVO;NUMERO_FACTURA;NIT_ADQUIRIENTE;RAZON_SOCIAL_ADQUIRIENTE;DIRECCION_ADQUIRIENTE;CORREO_ADQUIRIENTE;TELEFONO_ADQUIRIENTE;CIUDAD_MUNICIPIO_ADQUIRIENTE;NUMERO_AUTORIZACION_ELECTRONICA;CODIGO_QR;CODIGO_CUFE;VALOR_TOTAL;IVA_TOTAL;FECHA_GENERACION;NIT_EMISOR;RAZON_SOCIAL_EMISOR
layout_04_001;FECM1487527;1043281200-;JOHAN ALEJANDRO PACHECO LEAL;KR 48 72-45 EDIFICIO LUCERO APTO 2 B BARRIO COUNTRY;;;;18764093523812;https://catalogo-vpfe.dian.gov.co/document/searchqr?documentkey=eea0fd4cb402fd5e9903df779d8ab4385efd6efb399add621405c29dfa92d2d073f502ac8ed98b1004143e4639c78113;eea0fd4cb402fd5e9903df779d8ab4385efd6efb399add621405c29dfa92d2d073f502ac8ed98b1004143e4639c78113;0;0;06/06/2026 10:06:37;805009741-0;COOMEVA MEDICINA PREPAGADA S.A.
layout_04_002;FECM4331350;7717308989-;ESPERANZA ALEJANDRA RAMOS GALVIS;AK 24 # 105 - 33 APTO 37 B BARRIO RIOMAR;;;;66997391514897;https://catalogo-vpfe.dian.gov.co/document/searchqr?documentkey=33279fe8389ba9a2ac8fcdba93f405d42bc52e263766a01170b30082b4dc936691f41361113a3ecd065663b9c23e4019;33279fe8389ba9a2ac8fcdba93f405d42bc52e263766a01170b30082b4dc936691f41361113a3ecd065663b9c23e4019;236.300,00;0;31/08/2024 17:03:16;805009741-0;COOMEVA MEDICINA PREPAGADA S.A.
layout_04_003;FECM7666104;8577835672-;PATRICIA LEIDY BENITEZ CASTILLO;DG 112 # 85 - 38 APTO 5 A BARRIO BOSTON;;;;78726755482104;https://catalogo-vpfe.dian.gov.co/document/searchqr?documentkey=2024e8dab5a2c659d123b887527503ff6cbb19ed3f180b697808229c92d65e002f6f05cc34ea94233a07c4f4c85a0208;2024e8dab5a2c659d123b887527503ff6cbb19ed3f180b697808229c92d65e002f6f05cc34ea94233a07c4f4c85a0208;127.000,00;0;22/09/2024 12:13:05;805009741-0;COOMEVA MEDICINA PREPAGADA S.A.
layout_04_004;FECM6874413;1148439700-;YULIETH MAGDA MEDINA SALAZAR;KR 2 # 49 - 22 APTO 16 C BARRIO ALAMEDA;;;;81986010337439;https://catalogo-vpfe.dian.gov.co/document/searchqr?documentkey=03a01e4c7d9feed85d80b5973b8434817a5b4254dcf2c98038d27ef8bf5039be8c2c84169a44bcbfee72ac7c29e72b21;03a01e4c7d9feed85d80b5973b8434817a5b4254dcf2c98038d27ef8bf5039be8c2c84169a44bcbfee72ac7c29e72b21;161.300,00;0;01/05/2025 10:38:15;805009741-0;COOMEVA MEDICINA PREPAGADA S.A.
layout_04_005;FECM9700602;8916845613-;VALENTINA CONSUELO GONZALEZ QUINTERO;TV 159 # 114 - 92 APTO 37 B BARRIO RIOMAR;;;;20588594378205;https://catalogo-vpfe.dian.gov.co/document/searchqr?documentkey=05eb9fcde9f751d316e40c1ed96289128a8fae884acad8caff64cb4a0ebde865dad7bc723fb2a9553f63636ac60a2e5b;05eb9fcde9f751d316e40c1ed96289128a8fae884acad8caff64cb4a0ebde865dad7bc723fb2a9553f63636ac60a2e5b;100.500,00;0;08/01/2025 13:34:47;805009741-0;COOMEVA MEDICINA PREPAGADA S.A.
layout_04_006;FECM1002335;3038626532-;CAMILA CECILIA LEON BARRERA;AK 62 # 95 - 7 APTO 13 B BARRIO BOSTON;;;;47028343694814;https://catalogo-vpfe.dian.gov.co/document/searchqr?documentkey=346aca8b6dcb3432ddb33b39a21b4552e8db061a1971925436275762832a9f9d18f54da65277863ea8ade84b662cd27f;346aca8b6dcb3432ddb33b39a21b4552e8db061a1971925436275762832a9f9d18f54da65277863ea8ade84b662cd27f;98.700,00;0;25/04/2025 12:38:47;805009741-0;COOMEVA MEDICINA PREPAGADA S.A.
layout_05_001;FQ45806;113467892;JUAN PEREZ LEAL;CRA 46 92-15 APTO 501, EDFICIO BUENAVISTA . BARRIO;;3124567890;BARRANQUILLA;18764083304020;"NumFac: FQ45806
FecFac: 2026-01-07
HorFac: 20:18:50-05:00
NitFac: 800120681
DocAdq: 1129575535
ValFac: 84285.72
ValIva: 16014.29
ValOtroIm: 0.00
ValTolFac: 100300.01
CUFE: 28d8dd00ce3240c5ede9ee97fa1b4dda612069cbcfe78b25ec013ea8411b7d53f29e9daab6471b497ad17c2093dce767
https://catalogo-vpfe.dian.gov.co/document/searchqr?documentkey=28d8dd00ce3240c5ede9ee97fa1b4dda612069cbcfe78b25ec013ea8411b7d53f29e9daab6471b497ad17c2093dce767";28d8dd00ce3240c5ede9ee97fa1b4dda612069cbcfe78b25ec013ea8411b7d53f29e9daab6471b497ad17c2093dce767;100,300.01;16,014.29;2026-01-07 20:18:50;800.120.681-2;Croydon Colombia S.A
layout_05_002;FQ46263;742106840;PABLO JULIO RIOS CARDENAS;AV 112 # 71 - 33 APTO 699, EDIFICIO LOS ALPES . BARRIO;;3223695790;FLORENCIA;68726837088077;"NumFac: FQ46263
FecFac: 2024-02-25
HorFac: 16:14:28-05:00
NitFac: 800120681
DocAdq: 742106840
ValFac: 82535.44
ValIva: 15681.73
ValOtroIm: 0.00
ValTolFac: 98217.17
CUFE: 81597bb7b3f13cd07617fc9e66a2878e5da26b7a57827e17323cfb992a735643fa7e9c7cfac38125787443b180058ba4
https://catalogo-vpfe.dian.gov.co/document/searchqr?documentkey=81597bb7b3f13cd07617fc9e66a2878e5da26b7a57827e17323cfb992a735643fa7e9c7cfac38125787443b180058ba4";81597bb7b3f13cd07617fc9e66a2878e5da26b7a57827e17323cfb992a735643fa7e9c7cfac38125787443b180058ba4;98,217.17;15,681.73;2024-02-25 16:14:28;800.120.681-2;Croydon Colombia S.A
layout_05_003;FQ81848;335452829;NELSON ENRIQUE RINCON BAUTISTA;DG 55 # 101 - 19 APTO 18, EDIFICIO MIRADOR . BARRIO;;3515870581;BUCARAMANGA;84706204276928;"NumFac: FQ81848
FecFac: 2025-05-01
HorFac: 14:47:07-05:00
NitFac: 800120681
DocAdq: 335452829
ValFac: 72171.37
ValIva: 13712.56
ValOtroIm: 0.00
ValTolFac: 85883.93
CUFE: 21029007f0482372cfbaa42c12165e01c162dcb3471ce4d245fb745b75db8e8ebf3e12c5f9c684092228b346bd0e34ae
https://catalogo-vpfe.dian.gov.co/document/searchqr?documentkey=21029007f0482372cfbaa42c12165e01c162dcb3471ce4d245fb745b75db8e8ebf3e12c5f9c684092228b346bd0e34ae";21029007f0482372cfbaa42c12165e01c162dcb3471ce4d245fb745b75db8e8ebf3e12c5f9c684092228b346bd0e34ae;85,883.93;13,712.56;2025-05-01 14:47:07;800.120.681-2;Croydon Colombia S.A
layout_05_004;FQ17150;826674052;OLGA ANA LOZANO RUIZ;CR 9 # 45 - 12 APTO 589, EDIFICIO LOS ALPES . BARRIO;;3154141700;FLORIDABLANCA;39754302195755;"NumFac: FQ17150
FecFac: 2024-05-05
HorFac: 18:50:01-05:00
NitFac: 800120681
DocAdq: 826674052
ValFac: 28767.04
ValIva: 5465.74
ValOtroIm: 0.00
ValTolFac: 34232.78
CUFE: d46dc5f5c82107bd858883014ac24b2bbbdae415b5a9fdefdf302384cb8269368aafdf704a0da1194f58f047e3452c18
https://catalogo-vpfe.dian.gov.co/document/searchqr?documentkey=d46dc5f5c82107bd858883014ac24b2bbbdae415b5a9fdefdf302384cb8269368aafdf704a0da1194f58f047e3452c18";d46dc5f5c82107bd858883014ac24b2bbbdae415b5a9fdefdf302384cb8269368aafdf704a0da1194f58f047e3452c18;34,232.78;5,465.74;2024-05-05 18:50:01;800.120.681-2;Croydon Colombia S.A
layout_05_005;FQ62411;959901581;ARTURO WILSON CARDONA ESCOBAR;CRA 70 # 10 - 69 APTO 61, EDIFICIO EL PORTAL . BARRIO;;3109590963;ENVIGADO;95933370272451;"NumFac: FQ62411
FecFac: 2024-02-28
HorFac: 17:08:51-05:00
NitFac: 800120681
DocAdq: 959901581
ValFac: 82189.93
ValIva: 15616.09
ValOtroIm: 0.00
ValTolFac: 97806.02
CUFE: e4b27564d7af8a269aa4311cc857572c2361b8a7331dc61cdd972f0edbfa5b1dff602a639e63bb662479500401cff182
https://catalogo-vpfe.dian.gov.co/document/searchqr?documentkey=e4b27564d7af8a269aa4311cc857572c2361b8a7331dc61cdd972f0edbfa5b1dff602a639e63bb662479500401cff182";e4b27564d7af8a269aa4311cc857572c2361b8a7331dc61cdd972f0edbfa5b1dff602a639e63bb662479500401cff182;97,806.02;15,616.09;2024-02-28 17:08:51;800.120.681-2;Croydon Colombia S.A
layout_05_006;FQ13635;583762925;CRISTIAN GERMAN VARGAS PEREZ;TV 44 # 25 - 56 APTO 111, EDIFICIO TORRE NORTE . BARRIO;;3152689740;FLORENCIA;02652034480591;"NumFac: FQ13635
FecFac: 2024-09-07
HorFac: 10:38:18-05:00
NitFac: 800120681
DocAdq: 583762925
ValFac: 43015.16
ValIva: 8172.88
ValOtroIm: 0.00
ValTolFac: 51188.04
CUFE: 5f6c7a3f988d211ecaed2c361b81d4a95ed7f44905409102733827436baac685727cb1b75382ab4eb39b8188cebef75c
https://catalogo-vpfe.dian.gov.co/document/searchqr?documentkey=5f6c7a3f988d211ecaed2c361b81d4a95ed7f44905409102733827436baac685727cb1b75382ab4eb39b8188cebef75c";5f6c7a3f988d211ecaed2c361b81d4a95ed7f44905409102733827436baac685727cb1b75382ab4eb39b8188cebef75c;51,188.04;8,172.88;2024-09-07 10:38:18;800.120.681-2;Croydon Colombia S.A
layout_06_001;VJU-31862;1239585565;MATEO PACHECO;CR 21 53 172;pache1996@hotmail.com;(605) 3093020;BARRANQUILLA;18764071792823;https://catalogo-vpfe.dian.gov.co/document/searchqr?documentkey=2cfbd75c9c2b6c4d3ba1de5fb89f1fc9a4142f910e48d958e3c62a558d70bafc6881d729f588fa91f1567cf7017816b5;2cfbd75c9c2b6c4d3ba1de5fb89f1fc9a4142f910e48d958e3c62a558d70bafc6881d729f588fa91f1567cf7017816b5;71,800.00;11,463.87;2025-03-09 05:23;900566365-7;DOMIORIENTE SAS
layout_06_002;VJU-30493;0085855092;FRANCISCO MARIO GUTIERREZ SERRANO;CRA 129 # 76 - 39;francisco6489@hotmail.com;(605) 9336669;ZIPAQUIRA;88396034324686;https://catalogo-vpfe.dian.gov.co/document/searchqr?documentkey=f3255f7c4dbd71e915e60aa71955e6c572a7c53826292281d846b00bbe08c2166efd06c4274fd8d6f8130c177fdb4f0a;f3255f7c4dbd71e915e60aa71955e6c572a7c53826292281d846b00bbe08c2166efd06c4274fd8d6f8130c177fdb4f0a;68,600.00;10,952.94;2024-07-06 10:47;900566365-7;DOMIORIENTE SAS
layout_06_003;VJU-99435;9663127376;ALBERTO ARMANDO VARGAS URREGO;TV 133 # 8 - 93;alberto7696@hotmail.com;(605) 6638046;BUENAVENTURA;56664723197279;https://catalogo-vpfe.dian.gov.co/document/searchqr?documentkey=f01ffb3b47d2c0058341e241badd0484752cba5270a666d77d032d27afaca7a770ef0a770f74dd19ec32495c5f49ef14;f01ffb3b47d2c0058341e241badd0484752cba5270a666d77d032d27afaca7a770ef0a770f74dd19ec32495c5f49ef14;62,100.00;9,915.12;2025-02-15 10:51;900566365-7;DOMIORIENTE SAS
layout_06_004;VJU-65679;8800927173;INGRID ELIZABETH VARGAS CARDONA;KR 128 # 80 - 52;ingrid6698@hotmail.com;(605) 7464223;CUCUTA;31125321943612;https://catalogo-vpfe.dian.gov.co/document/searchqr?documentkey=4d71c36b654058865eb6c628cca6c30c78e293c81dd10d65df6a56ed574b3030fde24953e606e321e49f35cf8048d5ad;4d71c36b654058865eb6c628cca6c30c78e293c81dd10d65df6a56ed574b3030fde24953e606e321e49f35cf8048d5ad;64,700.00;10,330.25;2024-11-29 16:24;900566365-7;DOMIORIENTE SAS
layout_06_005;VJU-13161;0822179619;MELISSA VALENTINA ESPINOSA GRANADOS;AV 132 # 37 - 14;melissa7798@hotmail.com;(605) 6496226;PEREIRA;18031807759017;https://catalogo-vpfe.dian.gov.co/document/searchqr?documentkey=53f04eb24a3c83fb219e8ecb477ebcbccf35ffe57cfb0f390cd693f039cf43a64f8d0ce5301da99a32ddbaafdb57d598;53f04eb24a3c83fb219e8ecb477ebcbccf35ffe57cfb0f390cd693f039cf43a64f8d0ce5301da99a32ddbaafdb57d598;73,100.00;11,671.43;2024-11-01 14:37;900566365-7;DOMIORIENTE SAS
layout_06_006;VJU-16501;1268354277;ORLANDO WILLIAM ARIAS ROJAS;DG 9 # 93 - 48;orlando4536@hotmail.com;(605) 7625037;FACATATIVA;03533723764509;https://catalogo-vpfe.dian.gov.co/document/searchqr?documentkey=9f4dce33529858d26975205f658ce5897e5186bb87dcdcf9c88def904350117ad6605ef4b09193b39de75b04a100a49f;9f4dce33529858d26975205f658ce5897e5186bb87dcdcf9c88def904350117ad6605ef4b09193b39de75b04a100a49f;78,100.00;12,469.75;2025-04-11 15:25;900566365-7;DOMIORIENTE SAS
layout_07_001;UBB54638;12358972;JOHANA RUIZ;betania;johanalealcol@hotmail.com;3125662381;BARRANQUILLA;1845973547812;https://catalogo-vpfe.dian.gov.co/document/searchqr?documentkey=56cf788f66feb2eb643d8276ada9dca2a9f7a87961f7ee948ae526106618709a6250578b67c2bbf584e9dec8eb17ae28;56cf788f66feb2eb643d8276ada9dca2a9f7a87961f7ee948ae526106618709a6250578b67c2bbf584e9dec8eb17ae28;276,879.00;44,207.57;2024-03-29 16:43:33;890900307-7;GROUPE SEB ANDEAN S. A
layout_07_002;UBB43452;33623070;LORENA VALENTINA ACOSTA MEDINA;CLL 79 # 12 - 36;lorena.medina@gmail.com;3519367764;MANIZALES;5419281484355;https://catalogo-vpfe.dian.gov.co/document/searchqr?documentkey=04225bfd8e21dac35d5832904b4eee580151faec16df1d7a7536471490858ae8d8e2d907040a6199776205688415edb8;04225bfd8e21dac35d5832904b4eee580151faec16df1d7a7536471490858ae8d8e2d907040a6199776205688415edb8;431,875.00;68,955.00;2024-02-04 15:02:09;890900307-7;GROUPE SEB ANDEAN S. A
layout_07_003;UBB98769;87726172;FERNANDA INGRID SALAZAR IBARRA;CLL 158 # 44 - 47;fernanda.ibarra@outlook.com;3113731704;ARMENIA;0856805318993;https://catalogo-vpfe.dian.gov.co/document/searchqr?documentkey=7bd85bcf96bdda60471d8c6e3627138b2cad45af5fe4db54194f3948afa891e779dc1b77aa47e6939008e46eb5a889de;7bd85bcf96bdda60471d8c6e3627138b2cad45af5fe4db54194f3948afa891e779dc1b77aa47e6939008e46eb5a889de;428,277.00;68,380.00;2025-03-26 11:22:18;890900307-7;GROUPE SEB ANDEAN S. A
layout_07_004;UBB41433;78614635;MARIA DANIELA SANCHEZ VERA;KR 119 # 61 - 77;maria.vera@hotmail.com;3005101034;FLORIDABLANCA;6884528944602;https://catalogo-vpfe.dian.gov.co/document/searchqr?documentkey=f8604b8e8672056fbc771f7278cc17606f60861fd56ee42dfe302539f7e3f4d4576af9d0b0f9c6e702947185bae43cf7;f8604b8e8672056fbc771f7278cc17606f60861fd56ee42dfe302539f7e3f4d4576af9d0b0f9c6e702947185bae43cf7;364,994.00;58,276.00;2024-06-12 14:27:20;890900307-7;GROUPE SEB ANDEAN S. A
layout_07_005;UBB72161;05904500;SERGIO HECTOR CARDONA MORALES;AC 60 # 14 - 22;sergio.morales@outlook.com;3107049886;GIRARDOT;3206277241387;https://catalogo-vpfe.dian.gov.co/document/searchqr?documentkey=e8f8d668cb820b51a74076e99530af8d659aafc3dd066689f2a6deed9a336646af7ca70532b6f0cf89d58b11c671d5fd;e8f8d668cb820b51a74076e99530af8d659aafc3dd066689f2a6deed9a336646af7ca70532b6f0cf89d58b11c671d5fd;104,862.00;16,743.00;2024-08-14 11:29:40;890900307-7;GROUPE SEB ANDEAN S. A
layout_07_006;UBB77144;89651381;GERMAN SAMUEL MORALES VELASQUEZ;CL 56 # 69 - 29;german.velasquez@correo.com;3228165526;QUIBDO;7299463297670;https://catalogo-vpfe.dian.gov.co/document/searchqr?documentkey=e724891527b0bcb00894d840657b8c444ee6725fc174c119086f3fafe5fc4af255e134db1c0ee14b9c02b7f583f4479f;e724891527b0bcb00894d840657b8c444ee6725fc174c119086f3fafe5fc4af255e134db1c0ee14b9c02b7f583f4479f;154,160.00;24,614.00;2025-05-03 12:20:56;890900307-7;GROUPE SEB ANDEAN S. A
layout_08_001;F056143198;1159565735;PEDRO SEPULVEDA;;sepulvedapedro272@gmail.com;;;18734496467518;https://catalogo-vpfe.dian.gov.co/document/searchqr?documentkey=caff753db3157f0f553947556cc996cbed75e3ea568153b705601a51d90f0038efaaa295fd551be12ef266f277635f70;caff753db3157f0f553947556cc996cbed75e3ea568153b705601a51d90f0038efaaa295fd551be12ef266f277635f70;44,400.00;7,089.08;2026-05-09 - 10:24:48;830112317-1;PROCAFECOL S.A.
